"Unique Identifier","Agenda Number","Meeting","Meeting Date","Category","Sponsor","Outcome","Vote","Vote Type","E. Denise Simmons","Marc C. McGovern","Burhan Azeem","Patricia Nolan","Sumbul Siddiqui","Paul F. Toner","Ayesha M. Wilson","Jivan Sobrinho-Wheeler","Joan Pickett","Yeas","Nays","Present","Absent","Link","Summary","Notes"
"RES 2024 #1","1","2024-01-08 Regular","45299","Death Resolution","Paul F. Toner","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=21867&CssClass=","Condolences on the death of Paul J. Monagle Jr."
"RES 2024 #2","2","2024-01-08 Regular","45299","Death Resolution","Paul F. Toner","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=21868&CssClass=","Condolences on the death of Eleanor (Fallon) Toner."
"RES 2024 #3","3","2024-01-08 Regular","45299","Happy Birthday Resolution","E. Denise Simmons","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=21884&CssClass=","Happy 100th Birthday wishes to Elvernoy Goode Holland."
"RES 2024 #4","4","2024-01-08 Regular","45299","Death Resolution","Patricia Nolan","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=21885&CssClass=","Resolution on the death of Tanaia M. Wilkinson."
"RES 2024 #5","5","2024-01-08 Regular","45299","Death Resolution","Marc C. McGovern","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=21890&CssClass=","Resolution on the death of Joseph E. Caparco."
"RES 2024 #6","6","2024-01-08 Regular","45299","Death Resolution","Marc C. McGovern","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=21893&CssClass=","Resolution on the death of James Edward “Jimmy” Flynn."
"RES 2024 #7","7","2024-01-08 Regular","45299","Death Resolution","Paul F. Toner","Adopted as Amended","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=21897&CssClass=","Condolences on the Death of Linda Brown."
"RES 2024 #8","8","2024-01-08 Regular","45299","Death Resolution","Ayesha M. Wilson","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=21898&CssClass=","The City Council is deeply saddened to learn of that Mrs. Bethune Veronica Kelly, a proud Jamaican American, beloved wife of Zachariah Kelly, daughter of Claudius Clarke and Ethel Deans, passed away on January 7th, 2024, at the age of 74."
"RES 2024 #9","1","2024-01-22 Regular","45313","Congratulations","Paul F. Toner","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4465&MediaPosition=&ID=21933&CssClass=","Congratulations to Gladys Barrientos-Lopez on her retirement from the Cambridge Health Alliance."
"RES 2024 #10","2","2024-01-22 Regular","45313","Death Resolution","E. Denise Simmons","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4465&MediaPosition=&ID=21951&CssClass=","Condolences To The Family of Louis J. Bacci Jr."
