"Unique Identifier","Agenda Number","Meeting","Meeting Date","Sponsor","Co-Sponsors","Charter Right","Amended","Outcome","Vote","Type of Vote","E. Denise Simmons","Marc C. McGovern","Burhan Azeem","Patricia Nolan","Sumbul Siddiqui","Paul F. Toner","Ayesha M. Wilson","Jivan Sobrinho-Wheeler","Joan Pickett","Yeas","Nays","Present","Absent","Link","Summary"
"POR 2024 #1","1","2024-01-08 Regular","45299","Ayesha M. Wilson","Sumbul Siddiqui,Jivan Sobrinho-Wheeler,Marc C. McGovern","","","Failed","4-5-2","Roll Call","no","yes","no","no","yes","no","yes","yes","no","Marc C. McGovern, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","E. Denise Simmons, Burhan Azeem, Patricia Nolan, Paul F. Toner, Joan Pickett","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=21892&CssClass=","That the City Manager is requested to consult DPW, CDD, IQHQ, Friends of Jerry’s Pond, Alewife Study Group and Mass Audubon about further changes and enhancements to Jerry's Pond, improvements to the shoreline ecology and other improvements to the current plans for the Rindge Avenue public edge along Jerry’s Pond and investigate funding sources for such plans including the use of City moneys and resources."
"POR 2024 #2","2","2024-01-08 Regular","45299","Sumbul Siddiqui","Ayesha M. Wilson,Jivan Sobrinho-Wheeler,E. Denise Simmons","","","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=21896&CssClass=","That the City Manager is requested to consult with relevant staff to consider using remaining ARPA funding to create a tuition relief opportunity with Lesley University for Cambridge employees and residents."
"POR 2024 #3","1","2024-01-22 Regular","45313","E. Denise Simmons","","","","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4465&MediaPosition=&ID=21940&CssClass=","That the City Council schedule a Roundtable for February 5, 2024."
"POR 2024 #4","2","2024-01-22 Regular","45313","E. Denise Simmons","Marc C. McGovern","","Yes","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4465&MediaPosition=&ID=21942&CssClass=","That the City Manager is requested to direct the relevant City staff to evaluate the possibility of acquiring the property located at 727 Massachusetts Avenue."
"POR 2024 #5","3","2024-01-22 Regular","45313","Jivan Sobrinho-Wheeler","Patricia Nolan,Sumbul Siddiqui,Ayesha M. Wilson","","","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4465&MediaPosition=&ID=21943&CssClass=","That the City Manager is hereby requested to confer with relevant City departments on potential public renewable energy projects that could receive funding through the IRA Direct Pay provision."
"POR 2024 #6","4","2024-01-22 Regular","45313","Patricia Nolan","Burhan Azeem","","","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4465&MediaPosition=&ID=21948&CssClass=","That the City Manager is requested to work with relevant City departments with recommendations and legal opinions for adjusting transportation related fees and other considered changes."
"POR 2024 #7","5","2024-01-22 Regular","45313","Patricia Nolan","Marc C. McGovern","E. Denise Simmons","","Referred","Unanimous","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4465&MediaPosition=&ID=21949&CssClass=","That the City Manager is requested to work with relevant City departments to review the Across Sidewalk Electric Vehicle Charging (EV) Permit Pilot Program, eliminate the $200 annual permit fee and determine if the process can be simplified.  CHARTER RIGHT EXERCISED BY MAYOR SIMMONS IN COUNCIL JANUARY 22, 2024 REFERRED TO THE TRANSPORTATION AND PUBLIC UTILITIES COMMITTEE IN COUNCIL JANUARY 29, 2024"
"POR 2024 #8","6","2024-01-22 Regular","45313","E. Denise Simmons","","","","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4465&MediaPosition=&ID=21953&CssClass=","Policy Order re Joint Roundtable on February 5"
"POR 2024 #9","1","2024-01-29 Regular","45320","Burhan Azeem","Marc C. McGovern,E. Denise Simmons,Sumbul Siddiqui","","","Adopted and Referred","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4466&MediaPosition=&ID=22003&CssClass=","That the Community Development Department report back with any necessary edits to the attached zoning language that would allow unrelated people to live together in the City of Cambridge"
"POR 2024 #10","2","2024-01-29 Regular","45320","Sumbul Siddiqui","Ayesha M. Wilson,Marc C. McGovern,Jivan Sobrinho-Wheeler","","Yes","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4466&MediaPosition=&ID=21981&CssClass=","Calling for an Immediate Negotiated Ceasefire in Gaza"
"POR 2024 #11","3","2024-01-29 Regular","45320","Patricia Nolan","Jivan Sobrinho-Wheeler,Joan Pickett","","","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4466&MediaPosition=&ID=22011&CssClass=","Supporting An Act establishing the municipal reforestation program (S.452/H.869)"
"POR 2024 #12","4","2024-01-29 Regular","45320","Burhan Azeem","Jivan Sobrinho-Wheeler","","","Adopted","9-0-0","Roll Call","yes","yes","yes","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Burhan Azeem, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4466&MediaPosition=&ID=22013&CssClass=","That the City Manager is requested to work with the Traffic & Parking Department to take immediate action and make safety improvements to the intersection of Cardinal Medeiros Avenue, Binney Street, and Bristol Street as soon as possible."
"POR 2024 #13","5","2024-01-29 Regular","45320","Burhan Azeem","E. Denise Simmons","","","Adopted and Referred","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4466&MediaPosition=&ID=22016&CssClass=","Foreign Policy in Council."
"POR 2024 #14","1","2024-02-12 Regular","45334","Paul F. Toner","","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4468&MediaPosition=&ID=21979&CssClass=","Declare March 2, 2024, as Cambridge Youth Hockey Day in Cambridge."
"POR 2024 #15","2","2024-02-12 Regular","45334","Burhan Azeem","Marc C. McGovern,E. Denise Simmons,Paul F. Toner","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4468&MediaPosition=&ID=22139&CssClass=","That the City Manager is requested to direct the Community Development Department to commence the process of drafting updated district maps and development processes, along with the zoning language and relevant ordinances to allow for and encourage the continued growth, redevelopment, and evolution of Central Square."
"POR 2024 #16","3","2024-02-12 Regular","45334","Ayesha M. Wilson","E. Denise Simmons,Marc C. McGovern,Sumbul Siddiqui","","","Adopted and Referred","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4468&MediaPosition=&ID=22156&CssClass=","That the City Manager is requested to facilitate the participation in a public hearing(s) and or working "
"POR 2024 #17","4","2024-02-12 Regular","45334","Joan Pickett","Paul F. Toner,Ayesha M. Wilson,Patricia Nolan","","","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4468&MediaPosition=&ID=21997&CssClass=","That the City Solicitor in collaboration with the Commissioner of Traffic, Parking and Transportation, Community Development Department and the Police Department research rules and regulations governing the use of Electric Micromobility Devices and what, if any, authority Cambridge has to introduce its own regulations of these Devices including speed and location of use, and report back to the City Council in a timely manner."
"POR 2024 #18","5","2024-02-12 Regular","45334","Paul F. Toner","","","Yes","Adopted","","Voice Vote","","","","","","","","","","","","","","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4468&MediaPosition=&ID=22161&CssClass=","That the City Manager direct the Solicitors Office, Election Commission and any other department deemed necessary, to review the Final Report of the Charter Review Committee and its proposals and provide written feedback on the legality, and practicality of the proposals in advance of future discussion."
"POR 2024 #19","6","2024-02-12 Regular","45334","Paul F. Toner","","E. Denise Simmons","","Adopted","8 to 0","Roll Call","yes","yes","absent","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Burhan Azeem","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4468&MediaPosition=&ID=22162&CssClass=","The Final Report of the Charter Review Committee be referred to the Government Operations, Rules and Claims Committee. CHARTER RIGHT EXERCISED BY MAYOR SIMMONS IN COUNCIL FEBRUARY 12, 2024"
"POR 2024 #20","1","2024-02-26 Regular","45348","Burhan Azeem","Jivan Sobrinho-Wheeler,Marc C. McGovern,Patricia Nolan","","Yes","Adopted","8 to 0","Roll Call","yes","yes","absent","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Burhan Azeem","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4469&MediaPosition=&ID=22140&CssClass=","That the City Manager is requested to present recommendations for the refinement and improvement of the housing permitting process to the City Council, with a focus on reducing delays, minimizing costs, and enhancing clarity and accessibility for all stakeholders."
"POR 2024 #21","2","2024-02-26 Regular","45348","Patricia Nolan","Jivan Sobrinho-Wheeler,E. Denise Simmons","","","Adopted","6 to 2","Roll Call","yes","yes","absent","yes","yes","no","yes","yes","no","E. Denise Simmons, Marc C. McGovern, Patricia Nolan, Sumbul Siddiqui, Ayesha M. Wilson, Jivan Sobrinho-Wheeler","Paul F. Toner, Joan Pickett","","Burhan Azeem","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4469&MediaPosition=&ID=22216&CssClass=","City Council support of H.4138, The Affordable Homes Act, and urge legislators to retain the provisions for a local option transfer fee."
"POR 2024 #22","3","2024-02-26 Regular","45348","Jivan Sobrinho-Wheeler","Sumbul Siddiqui,E. Denise Simmons,Marc C. McGovern","","","Adopted","8 to 0","Roll Call","yes","yes","absent","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Burhan Azeem","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4469&MediaPosition=&ID=22220&CssClass=","Declare April 19th, 2024 as Global Congenital Diaphragmatic Hernia Awareness Day and Lighting City Hall in Recognition."
"POR 2024 #23","4","2024-02-26 Regular","45348","Sumbul Siddiqui","Ayesha M. Wilson,Jivan Sobrinho-Wheeler,E. Denise Simmons","","","Adopted","8 to 0","Roll Call","yes","yes","absent","yes","yes","yes","yes","yes","yes","E. Denise Simmons, Marc C. McGovern, Patricia Nolan, Sumbul Siddiqui, Paul F. Toner, Ayesha M. Wilson, Jivan Sobrinho-Wheeler, Joan Pickett","","","Burhan Azeem","https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4469&MediaPosition=&ID=22221&CssClass=","City Council recognition of International Mother Language Day every February 21st."
