Unique Identifier,Department,Category,Policy Order,Link,Description
AR-19-66,City Manager's Office,Awaiting Report,POR 2019 #184,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=9494&CssClass=,"Report on whether it is possible to reduce or eliminate Building Permit Fees for 100% affordable housing development projects, through an exemption or other means and investigate what types of real estate tax abatements are possible for 100% affordable housing moving forward."
AR-20-27,City Manager's Office,Awaiting Report,POR 2020 #142,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=12143&CssClass=,"Report on the advantages and disadvantages of continuing with Civil Service, and the process by which Cambridge could exit Civil Service."
AR-20-60,City Manager's Office,Awaiting Report,POR 2020 #252,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=12969&CssClass=,Report on  analyzing eviction data from 2018 through 2021 and come back with a plan on how to use this data to inform our next action steps.
AR-20-72,City Manager's Office,Awaiting Report,POR 2020 #285,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=13240&CssClass=,Report on the condition of 105 Windsor Street and cost estimates of any repairs needed and provide  recommendations on how to develop any other underused properties based on an inclusive public process centered in the Port neighborhood.
AR-21-10,City Manager's Office,Awaiting Report,POR 2021 #34,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=13562&CssClass=,"Report on whether or not the City can require written notice be sent to all abutters, both property owners as well as tenants, regarding the scheduling of a hearing regarding the extension of a building permit request to the Planning Board."
AR-21-46,City Manager's Office,Awaiting Report,POR 2021 #127,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=14341&CssClass=,Report on the feasibility of purchasing properties for sale in the Alewife area to address City goals.
AR-21-50,City Manager's Office,Awaiting Report,POR 2021 #135,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=14345&CssClass=,"Report on providing an update on the cost of each license and permit required by businesses, which business license and permit fees are set under state law, which are set by ordinances, and which are determined administratively, as well as which licenses and permits the City has the discretion to waive entirely."
AR-22-23,City Manager's Office,Awaiting Report,POR 2022 #61,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16101&CssClass=,"Report on providing an analysis of the impact of current curb cut policies, including (but not limited to) an explanation of the administration’s current procedures for notifying and conducting outreach to abutters and neighbors, the criteria for evaluating curb cut applications, and an approximation of the number of residential parking spaces that have been lost to new curb cuts each year over at least the last decade."
AR-22-24,City Manager's Office,Awaiting Report,POR 2022 #65,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16205&CssClass=,Report on determining what repairs to 205 Western Avenue would be needed to inhabit the space to allow the Cambridge Community Center to house their program.
AR-22-29,City Manager's Office,Awaiting Report,POR 2022 #87,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16290&CssClass=,Report on introducing a pilot program to open two of our youth centers during the evening and weekend hours during the summer.
AR-22-33,City Manager's Office,Awaiting Report,POR 2022 #90,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16349&CssClass=,"Report on consulting with the Executive Director of the Council on Aging, Somerville and Cambridge Elder Services, and the Executive Director of Cadbury Common to determine the feasibility of re-establishing some form of the Kate’s Café Monthly LGBTQ+ Community Dinners either at Cadbury Common or at another suitable location."
AR-22-36,City Manager's Office,Awaiting Report,POR 2022 #99,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16377&CssClass=,Work on Implementing Recommendations from Working IDEAL Report.
AR-22-38,City Manager's Office,Awaiting Report,POR 2022 #101,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16379&CssClass=,Report on establishing a method of ensuring that anti-bias training is incorporated into the City’s hiring process at all levels.
AR-22-46,City Manager's Office,Awaiting Report,POR 2022 #129,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16613&CssClass=,Report on a plan for piloting more street closures for pedestrianization in Harvard Square.
AR-22-49,City Manager's Office,Awaiting Report,POR 2022 #138,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16740&CssClass=,Report on Establishing a Task Force on Cambridge's African American/Black Residents.
AR-22-55,City Manager's Office,Awaiting Report,POR 2022 #145,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16746&CssClass=,Report on the status of the long term water projections  and on what measures could be taken to conserve water.
AR-22-57,City Manager's Office,Awaiting Report,POR 2022 #147,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16748&CssClass=,Report on Policy Order to investigate shared EV or Hybrid free bus service.
AR-22-61,City Manager's Office,Awaiting Report,POR 2022 #160,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16844&CssClass=,Report on communicating to the Cambridge Health Alliance the City Council’s support for the reopening of the Cambridge Birth Center for deliveries as soon as possible and City Council support for the protection of existing birth centers and the creation of new birth centers in Cambridge.
AR-22-64,City Manager's Office,Awaiting Report,POR 2022 #166,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16939&CssClass=,Report on t detailing how other comparable municipalities handle their street corner dedication processes and on ways to honor those individuals who may not ultimately have a street corner named after them but who nonetheless deserve to have their names and accomplishments recognized.
AR-22-67,City Manager's Office,Awaiting Report,POR 2022 #170,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16942&CssClass=,Report on necessary preparations for the next Housing Committee meeting in the discussion on potentially allowing multifamily housing to be built citywide.
AR-22-69,City Manager's Office,Awaiting Report,POR 2022 #142,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=16988&CssClass=,Report on a community process on the future use of 105 Windsor Street.
AR-22-71,City Manager's Office,Awaiting Report,POR 2022 #179,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=17121&CssClass=,Report on convening an advisory group to determine ways in which the City can work to lift up the voices and experiences of the descendants of the Indigenous People who currently reside in our community.
AR-22-73,City Manager's Office,Awaiting Report,POR 2022 #185,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=17125&CssClass=,"Report on working with the Law Dept., to automatically provide an initial legal opinion to the City Council and the City Clerk at least three business days in advance of the first Public Hearing on any amendment to the Code of Ordinances formally introduced in the City Council."
AR-22-83,City Manager's Office,Awaiting Report,POR 2022 #307,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=17631&CssClass=,"Report on determining how the City could adopt G.L. c. 40, sec. 60B, created under the Municipal Modernization Act, which allows cities and towns, through their respective legislative bodies, to provide for Workforce Housing Special Tax Assessments Zones (WH–STA) as an incentive to create middle-income housing."
AR-23-12,City Manager's Office,Awaiting Report,POR 2023 #26,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=18306&CssClass=,Report on options of how to increase overnight resident street parking in the vicinity of Rogers Street.
AR-23-16,City Manager's Office,Awaiting Report,POR 2023 #34,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=18712&CssClass=,Report on Police Details and the need for having armed vs. unarmed officers and the possibility of having civilian flaggers.
AR-23-17,City Manager's Office,Awaiting Report,POR 2023 #19,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=18713&CssClass=,Report on the feasibility of automated traffic enforcement as well as using unarmed CPD traffic details for future discussion Automated/Unarmed Traffic Enforcement.
AR-23-18,City Manager's Office,Awaiting Report,POR 2023 #42,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=18714&CssClass=,Report on creating a policy that will ensure the City is notified whenever a high-rise building over six floors experiences elevator failures.
AR-23-20,City Manager's Office,Awaiting Report,POR 2023 #47,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=18716&CssClass=,Report on the feasibility of providing municipally-funded housing vouchers similar to programs in Somerville and Boston.
AR-23-21,City Manager's Office,Awaiting Report,POR 2023 #48,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=18746&CssClass=,"Report on funding the HEART initiative and negotiate a contract for services with HEART, to include but not limited to HEART responding to certain 911 calls."
AR-23-25,City Manager's Office,Awaiting Report,POR 2023 #59,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=19046&CssClass=,Report on developing a three-year plan to expand and improve After School Care.
AR-23-28,City Manager's Office,Awaiting Report,POR 2023 #72,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=19169&CssClass=,"Report on bringing together a working group to conduct outreach through neighborhood groups including the Fresh Pond Residents Alliance, and any other nearby neighborhood groups and city departments, in order to discuss and review options for use of the BB&N; Field."
AR-23-30,City Manager's Office,Awaiting Report,POR 2023 #79,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=19292&CssClass=,"Report on working with DPW and relevant City departments and the Committee on Public Planting to consider ideas proposed during the Health and Environment Committee meeting on April 25, 2023, and to prepare a brief report outlining action items within the City’s UFMP which can be implemented as soon as this year and develop recommendations to update regulations regarding native species planting practices in light of climate change affecting the species that should be planted in the City."
AR-23-34,City Manager's Office,Awaiting Report,POR 2023 #85,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=19509&CssClass=,Report on funding and implementing the grant proposal submitted to DOE GTO to design and implement a community-scale geothermal heating and cooling system in Cambridge.
AR-23-36,City Manager's Office,Awaiting Report,POR 2023 #87,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=19511&CssClass=,Report on the goal of lowering the speed limit as much as possible on all state highways that fall within Cambridge’s geographic boundaries.
AR-23-41,City Manager's Office,Awaiting Report,POR 2023 #99,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=19820&CssClass=,Report on a new phone number and email address for Inclusionary Tenants to utilize for complaints and emergency issues as they arise.
AR-23-43,City Manager's Office,Awaiting Report,POR 2023 #108,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=19823&CssClass=,"Report on whether the Fire Department, the Police Department, Emergency Communications Department, Traffic, Parking and Transportation Department, the Department of Public Works and the Harvard Square Business Association determine that  permanent automatic bollards are feasible in the area of Winthrop Street."
AR-23-44,City Manager's Office,Awaiting Report,POR 2023 #110,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=19825&CssClass=,"Report on the legal opinion on whether the city could, without violating state law, use traffic cameras, regulated under the Surveillance Ordinance, to inform motorists of potential traffic violations or dangerous actions, without issuing any citations or formal warnings."
AR-23-45,City Manager's Office,Awaiting Report,POR 2023 #124,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=20088&CssClass=,"Report on the issuing of an RFP calling for an agency that will lead the City through a community process with all stakeholders that will include community education, feedback, location possibilities, and potential legal issues as it relates to Overdose Prevention Centers."
AR-23-46,City Manager's Office,Awaiting Report,POR 2023 #126,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=20089&CssClass=,"Report on the coordination between relevant departments, local business associations, and local businesses to communicate to all retail businesses operating in Cambridge to encourage them to keep doors closed when operating cooling systems and inform them of other energy saving tools."
AR-23-48,City Manager's Office,Awaiting Report,POR 2023 #132,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4464&MediaPosition=&ID=20320&CssClass=,"Report back on the Department of Veterans Services and the Traffic, Parking, and Transportation Department's determination of how and where it would be most appropriate to establish signs along the City’s borders proclaiming Cambridge to be a Purple Heart City."
