Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2024-01-01 Inaugural,City Council,Inaugural,,2024,2024-01-01,10:00 AM,completed,4463,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4463,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3995&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3995&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2779&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2779&Inline=True
2024-01-08 Regular,City Council,Regular,,2024,2024-01-08,05:30 PM,completed,4464,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4464,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3997&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3997&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2778&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2778&Inline=True
2024-01-09 Planning Board,Planning Board,Planning Board,,2024,2024-01-09,06:30 PM,completed,4459,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4459,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3998&Inline=True,,
2024-01-11 Hearing – Remote,Board of Zoning Appeal,Hearing – Remote,,2024,2024-01-11,06:00 PM,completed,4487,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4487,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3999&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3999&Inline=True,,
2024-01-11 Hearing – Remote,Board of Zoning Appeal,Hearing – Remote,,2024,2024-01-11,06:30 PM,completed,4485,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4485,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3996&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3996&Inline=True,,
2024-01-22 Regular,City Council,Regular,,2024,2024-01-22,05:30 PM,completed,4465,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4465,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4002&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4002&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2782&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2782&Inline=True
2024-01-23 Committee,Charter Review Committee,Committee,,2024,2024-01-23,05:30 PM,completed,4489,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4489,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4001&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4001&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2786&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2786&Inline=True
2024-01-23 Planning Board,Planning Board,Planning Board,,2024,2024-01-23,06:30 PM,completed,4460,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4460,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4003&Inline=True,,
2024-01-25 Hearing – Remote,Board of Zoning Appeal,Hearing – Remote,,2024,2024-01-25,06:00 PM,completed,4488,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4488,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4000&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4000&Inline=True,,
2024-01-29 Regular,City Council,Regular,,2024,2024-01-29,05:30 PM,completed,4466,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4466,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=4007&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=4007&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2783&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2783&Inline=True
