Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,E. Denise Simmons,Marc C. McGovern,Burhan Azeem,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson,Jivan Sobrinho-Wheeler,Catherine Zusy,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2025 #1,1,2025-01-06 Regular,2025-01-06,Congratulations,Paul F. Toner,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26732&CssClass=,Congratulations to Bishop Cristiano Barbosa for being awarded the 2025 MAPS Person of the Year.,
RES 2025 #2,2,2025-01-06 Regular,2025-01-06,Congratulations,Paul F. Toner,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26736&CssClass=,Congratulations to Edilia Gomes as the Recipient of the 2025 MAPS Mary & Manuel Rogers Lifetime Community Service Award.,
RES 2025 #3,3,2025-01-06 Regular,2025-01-06,Congratulations,Paul F. Toner,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26739&CssClass=,Congratulations to Michael Carreiro as the recipient of the 2025 MAPS Alvaro Lima Outstanding Business Award.,
RES 2025 #4,4,2025-01-06 Regular,2025-01-06,Death Resolution,Paul F. Toner,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26762&CssClass=,Condolences on the death of Vasco S. Caetano.,
RES 2025 #5,5,2025-01-06 Regular,2025-01-06,Congratulations,Paul F. Toner,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26763&CssClass=,Congratulations to Rabbi Liza Stern on her retirement,
RES 2025 #6,6,2025-01-06 Regular,2025-01-06,Congratulations,Marc C. McGovern,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26771&CssClass=,Resolution on the death of Maria Alexandria Forde.,
RES 2025 #7,7,2025-01-06 Regular,2025-01-06,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26794&CssClass=,Condolences To The Family of Alfred A. Marazzo,
RES 2025 #8,8,2025-01-06 Regular,2025-01-06,Death Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26842&CssClass=,Condolence Resolution for Dr. Robert S. Peterkin,
RES 2025 #9,9,2025-01-06 Regular,2025-01-06,Death Resolution,Paul F. Toner,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26922&CssClass=,Condolences on the death of Robert R. McCallum,
RES 2025 #10,10,2025-01-06 Regular,2025-01-06,Congratulations,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26955&CssClass=,Congratulations to the Holy Trinity Armenian Apostolic Church on its 100th Anniversary.,
RES 2025 #11,11,2025-01-06 Regular,2025-01-06,Retirement Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26963&CssClass=,Congratulations to Michelle Borden On Her Retirement,
RES 2025 #12,12,2025-01-06 Regular,2025-01-06,Retirement Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26964&CssClass=,Congratulations to Juliet Turner On Her Retirement,
RES 2025 #13,13,2025-01-06 Regular,2025-01-06,Retirement Resolution,E. Denise Simmons,Adopted,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4630&MediaPosition=&ID=26965&CssClass=,Congratulations to Faye McKinnon on Her Retirement,
RES 2025 #14,1,2025-01-27 Regular,2025-01-27,Congratulations,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=26972&CssClass=,Congratulations to Helen Gibbons on her retirement from the Cambridge Health Alliance.,
RES 2025 #15,2,2025-01-27 Regular,2025-01-27,Congratulations,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=26978&CssClass=,Congratulations to Judith Rolph on her retirement from the Cambridge Health Alliance.,
RES 2025 #16,3,2025-01-27 Regular,2025-01-27,Congratulations,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=26983&CssClass=,Congratulations to Jan Snyder on her retirement from the Cambridge Health Alliance.,
RES 2025 #17,4,2025-01-27 Regular,2025-01-27,Resolution,Sumbul Siddiqui,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27040&CssClass=,"Thanks to Iram Farooq for her 25 years of commitment, service, and leadership at the City of Cambridge Community Development Department and best wishes as she joins Harvard University.",
RES 2025 #18,5,2025-01-27 Regular,2025-01-27,Death Resolution,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27095&CssClass=,Condolences on the death of Robert V.  Travers.,
RES 2025 #19,6,2025-01-27 Regular,2025-01-27,Death Resolution,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27118&CssClass=,Condolences on the death of Henry Edward (Ted) Tierney.,
RES 2025 #20,7,2025-01-27 Regular,2025-01-27,Death Resolution,E. Denise Simmons,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27123&CssClass=,Condolences to the family of Janet Rose.,
RES 2025 #21,8,2025-01-27 Regular,2025-01-27,Death Resolution,Marc C. McGovern,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27127&CssClass=,Resolution on the death of Sterling Zen Singletary.,
RES 2025 #22,9,2025-01-27 Regular,2025-01-27,Death Resolution,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27119&CssClass=,Condolences on the death of Alfred Marazzo.,
RES 2025 #23,10,2025-01-27 Regular,2025-01-27,Death Resolution,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4632&MediaPosition=&ID=27120&CssClass=,Condolences on the death of Robert Lenkauskas.,
