Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Type of Vote,Sumbul Siddiqui,Burhan Azeem,Patricia Nolan,Jivan Sobrinho-Wheeler,Catherine Zusy,Marc C. McGovern,E. Denise Simmons,Timothy R. Flaherty,Ayah A. Al-Zubi,Yeas,Nays,Present,Absent,Recused,Link,Notes,Summary
CMA 2026-175,2026-06-08 Regular,2026-06-08,1,Communication,,,,Approved,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87620,,"The assignment of 32 officers for the state primary, september 1, 2026 and 26 for the state election, november 3, 2026"
CMA 2026-176,2026-06-08 Regular,2026-06-08,2,Appointment,,,,Approved,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87622,,Appointments to the cambridge commission on the status of women
CMA 2026-173,2026-06-08 Regular,2026-06-08,3,Awaiting Report Response,,,,Placed on File,Voice Vote,,,absent,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87615,,"A communication transmitted by yi-an huang, city manager, relative to a response to awaiting report 26-39 relative to preparations for the city's lgbtq+ pride celebration on june 20"
CMA 2026-182,2026-06-08 Regular,2026-06-08,4,Communication,,,,Approved,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87632,,"Appropriations to the combined sewer overflow and stormwater management advisory committee (cso advisory committee) for a term of five years, effective june 8, 2026"
CMA 2026-177,2026-06-08 Regular,2026-06-08,5,Communication,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87623,,"Reauthorization of a spending limit of $3,800,000 for fiscal year 2027, for the renewable energy and greenhouse gas (ghg) reduction revolving fund (revolving fund)"
CMA 2026-179,2026-06-08 Regular,2026-06-08,6,Communication,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87626,,"Authorization of a spending limit of $240,000 for fiscal year 2027, for the fresh pond golf course pro shop revolving fund (revolving fund), pursuant to chapter 3.24 of the municipal ordinance titled “departmental revolving funds”"
CMA 2026-171,2026-06-08 Regular,2026-06-08,7,Communication,,,,Placed on File,Voice Vote,,,absent,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87612,,A five-year progress review of the affordable housing overlay
CMA 2026-180,2026-06-08 Regular,2026-06-08,8,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87630,,"Appropriation of $18,970.32 from the home grant program"
CMA 2026-170,2026-06-08 Regular,2026-06-08,8,Communication,,,,No Action Taken                                                         Next: 6/22/2026 5:30 Pm,Voice Vote,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87608,,"Proposed changes to the city's zero waste master plan.    tabled in council june 1, 2026"
CMA 2026-172,2026-06-08 Regular,2026-06-08,9,Awaiting Report Response,,,,Placed on File,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87613,,A response to awaiting report 26-31 regarding updates to succession-planning and employee-ownership. materials
CMA 2026-181,2026-06-08 Regular,2026-06-08,10,Appropriation,,,,Adopted,Unanimous,,,,,,,,,,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87631,,Authorization to transfer appropriations from the allotments with available balances to those needing implementation
CMA 2026-174,2026-06-08 Regular,2026-06-08,11,Awaiting Report Response,,,,Tabled,Roll Call,yes,no,absent,yes,yes,yes,no,no,yes,,,,,,https://cambridgema.primegov.com/search/itemsearch?searchItemId=87617,,Awaiting report item number 26-25 regarding a report on how the decision to install artificial turf was made
